x_1,x_2,label
-0.234443,-1.07596,1
0.730359,-0.918093,0
1.43227,-0.439449,0
0.0267327,1.0503,0
1.87965,0.207743,0
1.16079,0.255293,0
-0.947921,-0.698876,1
-0.581188,-0.456724,1
-0.463215,-1.28912,1
-0.365886,-1.53063,1
-0.511227,-1.00104,1
1.21043,0.568728,0
1.83162,1.58653,0
-0.504685,-0.190604,1
0.890221,-0.743124,0
0.682025,1.38689,0
0.700774,-0.413478,0
-0.410361,0.272136,1
-0.828593,-1.30455,1
0.948003,-0.843062,0
0.827474,0.628163,0
0.348295,-0.43955,0
-0.225802,-1.38238,1
-0.427104,0.103491,1
1.09577,0.944749,0
-0.442619,-2.74045,1
1.14316,-0.216419,0
-0.800479,-2.33325,1
0.615998,1.05246,0
-0.511494,-1.29341,1
0.249892,-1.29477,0
0.893172,0.858844,0
0.854137,1.22664,0
-0.53968,-0.929356,1
-0.134269,0.605482,0
0.295618,-0.174318,0
0.828253,0.482181,0
0.556337,-0.0523028,0
-0.511071,-1.19795,1
-0.573011,-2.3435,1
1.08615,0.657462,0
-0.511717,-1.23816,1
-0.409502,-0.926578,1
0.698391,0.660599,0
-0.56925,-1.59598,1
-0.440653,-0.37751,1
1.17842,-0.401026,0
-0.21814,0.438779,0
1.40957,-0.632419,0
-0.687576,-0.675169,1
-0.826485,-1.05035,1
0.0043712,0.689392,0
-0.0569489,0.0372597,0
-0.258203,-0.289455,0
0.833337,0.885031,0
-0.406323,0.301909,1
0.684947,0.343953,0
0.616133,-0.878011,0
0.919452,2.27104,0
-0.618281,-0.156686,1
-0.548268,-1.65864,1
-0.0990529,0.63728,0
0.495174,-0.188074,0
0.543191,-0.497455,0
-0.67948,-0.0156472,1
0.981565,0.529096,0
-0.632011,-0.868136,1
-0.820367,-1.66539,1
-0.670517,-0.98278,1
-0.607054,-0.980946,1
-0.657734,-0.179021,1
0.769315,-1.40672,0
-0.689498,-0.816667,1
0.15557,-0.256816,0
0.343318,-1.21642,0
1.09491,1.55185,0
-0.788988,-1.90791,1
-0.667536,-1.44339,1
-0.0414692,0.860379,0
0.186587,-0.480678,0
0.214624,1.30445,0
0.478569,0.66605,0
1.1359,1.0735,0
-0.0306706,-1.95937,1
1.03365,0.0273249,0
-0.295642,-1.41441,1
-0.687796,-0.237234,1
1.09689,0.0904266,0
0.798862,0.832954,0
-0.345461,-2.2462,1
-0.864851,-0.772297,1
0.358685,0.139611,0
-0.526495,0.903619,0
-0.361914,-0.402496,1
1.21592,0.589965,0
1.88488,-1.20437,0
0.654673,-0.14485,0
-0.40039,-1.01964,1
1.51,1.96959,0
-0.526211,-0.15019,1
-0.305493,0.600401,1
-0.584933,-1.62247,1
2.09811,0.176075,0
-0.606498,-0.516209,1
0.657473,-0.557648,0
0.390198,-0.562993,0
-0.526382,-0.696429,1
-0.686548,-1.9473,1
0.906534,-0.604096,0
-0.520869,-1.741,1
-0.445766,-1.60112,1
-0.394191,-0.683029,1
0.296351,0.301945,0
-0.652423,-1.66584,1
1.90196,-0.810016,0
-0.405913,-0.766415,1
-0.544495,-1.64419,1
1.71147,1.73051,0
0.510172,0.870358,0
1.15028,0.32826,0
0.737837,-0.488031,0
1.22152,-2.48968,0
-0.562395,-1.63022,1
1.1813,-2.40562,0
-0.127945,0.700934,0
-0.283725,-1.47353,1
-0.581261,-1.64803,1
-0.973917,-0.351961,1
-0.097188,-1.23007,1
0.403975,1.78638,0
0.0920463,-0.211585,0
0.594224,0.306165,0
1.09923,0.253771,0
-0.601072,-1.61184,1
-0.649938,-0.975393,1
0.522234,0.267479,0
-0.442176,-0.690347,1
1.05704,1.17221,0
-0.577374,-1.38272,1
-0.311506,-1.2007,1
-0.433885,-0.288065,1
0.420724,-0.264234,0
1.69158,-1.09776,0
1.07007,-1.36696,0
0.742159,0.410928,0
0.423796,-0.140953,0
