DEST_AIRPORT_ID,DEST_COUNT
10135,179
10140,1763
10141,62
10146,40
10154,176
10157,97
10158,310
10165,9
10170,58
10185,94
10208,176
10245,5
10257,867
10268,58
10279,252
10299,1985
10333,54
10372,480
10397,31901
10408,328
10423,4681
10431,354
10434,170
10469,228
10529,2011
10551,85
10561,210
10577,89
10581,146
10590,31
10599,1036
10620,342
10627,259
10631,62
10685,201
10693,4913
10713,1437
10721,11329
10731,73
10732,177
10739,58
10747,80
10754,79
10779,58
10781,590
10785,296
10792,1627
10800,2266
10821,9057
10849,614
10868,344
10874,454
10918,54
10926,62
10980,316
10990,157
10994,1271
11003,570
11013,58
11042,3341
11049,99
11057,9882
11066,2139
11076,62
11097,113
11109,929
11111,96
11122,66
11140,206
11146,143
11150,96
11193,1994
11203,113
11252,178
11259,5958
11267,473
11278,6522
11292,20897
11298,15978
11308,120
11336,26
11337,274
11413,105
11423,720
11433,11453
11447,53
11471,58
11481,423
11503,40
11525,58
11540,917
11577,147
11587,54
11603,398
11612,187
11617,50
11618,10611
11624,125
11630,354
11637,268
11638,748
11641,115
11648,348
11695,118
11697,7421
11721,353
11775,439
11778,60
11823,482
11865,89
11884,1165
11898,136
11921,235
11953,109
11973,205
11977,407
11980,59
11982,127
11986,1000
11995,525
11996,588
11997,26
12003,159
12007,89
12016,31
12094,74
12129,54
12156,151
12173,4401
12177,55
12191,4739
12197,639
12206,209
12217,369
12250,31
12255,54
12264,3621
12265,43
12266,11123
12278,723
12280,247
12323,145
12335,58
12339,2440
12343,52
12389,91
12391,393
12397,89
12402,570
12441,528
12448,410
12451,1452
12478,8479
12511,62
12519,84
12523,505
12758,1245
12819,270
12884,217
12888,54
12889,13374
12891,94
12892,19387
12896,347
12898,93
12915,82
12945,470
12951,158
12953,8219
12954,1411
12982,1185
12992,617
13029,292
13061,174
13076,190
13127,91
13158,465
13184,253
13198,4011
13204,11131
13230,284
13232,7954
13241,93
13244,1309
13256,164
13264,340
13277,70
13290,126
13296,553
13303,5633
13342,2711
13344,58
13360,134
13367,302
13377,125
13422,336
13433,124
13459,90
13476,234
13485,894
13486,316
13487,12800
13495,3905
13502,42
13541,74
13577,736
13795,63
13796,4533
13830,2083
13851,1251
13871,1718
13873,62
13891,1795
13930,25778
13931,1112
13933,62
13964,40
13970,62
14006,58
14025,41
14027,1647
14057,5889
14098,92
14100,6499
14107,13039
14108,262
14109,62
14113,85
14122,2660
14150,110
14193,450
14222,12
14252,333
14254,76
14256,62
14262,501
14307,1206
14321,697
14457,414
14487,93
14489,406
14492,3278
14520,62
14524,1406
14543,58
14570,1481
14574,99
14576,764
14588,31
14633,353
14635,1629
14674,125
14679,7913
14683,2865
14685,760
14689,462
14696,491
14698,274
14709,62
14711,151
14730,893
14747,13582
14771,16651
14783,255
14794,226
14814,354
14828,182
14831,4453
14842,93
14843,2235
14869,10197
14893,4128
14908,3718
14952,89
14986,210
15016,4991
15023,155
15024,369
15027,92
15041,167
15070,120
15096,527
15249,188
15295,27
15304,5577
15323,147
15356,187
15370,1125
15376,1121
15380,457
15389,89
15412,557
15497,7
15607,72
15624,327
15841,62
15897,59
15919,438
15991,62
16218,118
