ID,Count,Description
10397,31901,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
13930,25778,"Chicago, IL: Chicago O'Hare International"
11292,20897,"Denver, CO: Denver International"
12892,19387,"Los Angeles, CA: Los Angeles International"
14771,16651,"San Francisco, CA: San Francisco International"
11298,15978,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
14747,13582,"Seattle, WA: Seattle/Tacoma International"
12889,13374,"Las Vegas, NV: McCarran International"
14107,13039,"Phoenix, AZ: Phoenix Sky Harbor International"
13487,12800,"Minneapolis, MN: Minneapolis-St Paul International"
