ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,FL_COUNT,ORIGIN_INDEX,DEST_INDEX,OUTDEGREE
10135,10397,77,119,373,3
10135,11433,85,119,1375,3
10135,13930,18,119,3770,3
10140,10397,93,124,373,23
10140,10423,4,124,399,23
10140,10821,64,124,792,23
10140,11259,143,124,1214,23
10140,11292,127,124,1245,23
10140,11298,150,124,1250,23
10140,12191,89,124,2106,23
10140,12266,74,124,2177,23
10140,12478,31,124,2381,23
10140,12889,120,124,2762,23
10140,12892,97,124,2765,23
10140,13198,31,124,3064,23
10140,13204,14,124,3070,23
10140,13232,68,124,3098,23
10140,13487,29,124,3347,23
10140,13796,89,124,3644,23
10140,13930,41,124,3770,23
10140,14057,27,124,3892,23
10140,14107,237,124,3941,23
10140,14679,62,124,4459,23
10140,14747,31,124,4525,23
10140,14771,50,124,4549,23
10140,14869,90,124,4646,23
10141,13487,62,125,3347,1
10146,10397,41,130,373,1
10154,10721,48,138,693,3
10154,11278,15,138,1231,3
10154,12478,113,138,2381,3
10157,14771,97,141,4549,1
10158,10397,31,142,373,7
10158,10721,31,142,693,7
10158,11697,62,142,1630,7
10158,13204,93,142,3070,7
10158,13577,31,142,3432,7
10158,14635,31,142,4417,7
10158,15304,31,142,5069,7
10165,10299,9,149,278,1
10170,10299,58,154,278,1
10185,10397,12,168,373,2
10185,12266,82,168,2177,2
10208,10397,174,189,373,1
10245,10299,5,225,278,1
10257,10397,89,237,373,12
10257,10821,178,237,792,12
10257,11057,90,237,1019,12
10257,11292,31,237,1245,12
10257,11433,89,237,1375,12
10257,11618,20,237,1552,12
10257,11697,45,237,1630,12
10257,13204,81,237,3070,12
10257,13232,62,237,3098,12
10257,13487,31,237,3347,12
10257,13930,120,237,3770,12
10257,15304,31,237,5069,12
10268,13930,58,248,3770,1
10279,11259,120,259,1214,5
10279,11292,2,259,1245,5
10279,11298,9,259,1250,5
10279,12266,89,259,2177,5
10279,12889,31,259,2762,5
10299,10165,9,278,149,26
10299,10170,58,278,154,26
10299,10245,5,278,225,26
10299,10397,31,278,373,26
10299,10551,85,278,524,26
10299,10754,17,278,726,26
10299,10926,31,278,892,26
10299,11292,44,278,1245,26
10299,11298,31,278,1250,26
10299,11336,26,278,1285,26
10299,11618,4,278,1552,26
10299,11630,91,278,1564,26
10299,12173,31,278,2090,26
10299,12266,14,278,2177,26
10299,12523,115,278,2423,26
10299,12892,83,278,2765,26
10299,13487,86,278,3347,26
10299,13873,36,278,3718,26
10299,13930,93,278,3770,26
10299,13970,57,278,3809,26
10299,14057,120,278,3892,26
10299,14107,22,278,3941,26
10299,14709,62,278,4489,26
10299,14747,796,278,4525,26
10299,14771,33,278,4549,26
10299,14869,9,278,4646,26
10333,11433,31,310,1375,2
10333,14150,22,310,3982,2
10372,11292,231,348,1245,7
10372,11298,31,348,1250,7
10372,12266,16,348,2177,7
10372,12892,79,348,2765,7
10372,13930,62,348,3770,7
10372,14771,31,348,4549,7
10372,14869,31,348,4646,7
10397,10135,77,373,119,157
10397,10140,93,373,124,157
10397,10146,40,373,130,157
10397,10158,31,373,142,157
10397,10185,12,373,168,157
10397,10208,176,373,189,157
10397,10257,89,373,237,157
10397,10299,31,373,278,157
10397,10408,58,373,384,157
10397,10423,332,373,399,157
10397,10431,196,373,406,157
10397,10434,31,373,409,157
10397,10529,201,373,503,157
10397,10599,307,373,572,157
10397,10685,82,373,657,157
10397,10693,297,373,665,157
10397,10721,608,373,693,157
10397,10731,73,373,703,157
10397,10781,233,373,753,157
10397,10785,45,373,757,157
10397,10792,148,373,764,157
10397,10821,575,373,792,157
10397,10849,10,373,819,157
10397,10868,232,373,836,157
10397,10874,104,373,842,157
10397,10980,165,373,945,157
10397,10990,53,373,954,157
10397,10994,322,373,958,157
10397,11003,77,373,967,157
10397,11042,335,373,1004,157
10397,11057,475,373,1019,157
10397,11066,341,373,1028,157
10397,11109,31,373,1071,157
10397,11146,45,373,1107,157
10397,11150,96,373,1111,157
10397,11193,248,373,1153,157
10397,11252,147,373,1207,157
10397,11259,298,373,1214,157
10397,11267,117,373,1222,157
10397,11278,465,373,1231,157
10397,11292,511,373,1245,157
10397,11298,585,373,1250,157
10397,11308,120,373,1258,157
10397,11423,87,373,1366,157
10397,11433,496,373,1375,157
