ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,FL_COUNT,ORIGIN_INDEX,DEST_INDEX
10135,10397,77,119,373
10135,11433,85,119,1375
10135,13930,18,119,3770
10140,10397,93,124,373
10140,10423,4,124,399
10140,10821,64,124,792
10140,11259,143,124,1214
10140,11292,127,124,1245
10140,11298,150,124,1250
10140,12191,89,124,2106
10140,12266,74,124,2177
10140,12478,31,124,2381
10140,12889,120,124,2762
10140,12892,97,124,2765
10140,13198,31,124,3064
10140,13204,14,124,3070
10140,13232,68,124,3098
10140,13487,29,124,3347
10140,13796,89,124,3644
10140,13930,41,124,3770
10140,14057,27,124,3892
10140,14107,237,124,3941
10140,14679,62,124,4459
10140,14747,31,124,4525
10140,14771,50,124,4549
10140,14869,90,124,4646
10141,13487,62,125,3347
10146,10397,41,130,373
10154,10721,48,138,693
10154,11278,15,138,1231
10154,12478,113,138,2381
10157,14771,97,141,4549
10158,10397,31,142,373
10158,10721,31,142,693
10158,11697,62,142,1630
10158,13204,93,142,3070
10158,13577,31,142,3432
10158,14635,31,142,4417
10158,15304,31,142,5069
10165,10299,9,149,278
10170,10299,58,154,278
10185,10397,12,168,373
10185,12266,82,168,2177
10208,10397,174,189,373
10245,10299,5,225,278
10257,10397,89,237,373
10257,10821,178,237,792
10257,11057,90,237,1019
10257,11292,31,237,1245
10257,11433,89,237,1375
10257,11618,20,237,1552
10257,11697,45,237,1630
10257,13204,81,237,3070
10257,13232,62,237,3098
10257,13487,31,237,3347
10257,13930,120,237,3770
10257,15304,31,237,5069
10268,13930,58,248,3770
10279,11259,120,259,1214
10279,11292,2,259,1245
10279,11298,9,259,1250
10279,12266,89,259,2177
10279,12889,31,259,2762
10299,10165,9,278,149
10299,10170,58,278,154
10299,10245,5,278,225
10299,10397,31,278,373
10299,10551,85,278,524
10299,10754,17,278,726
10299,10926,31,278,892
10299,11292,44,278,1245
10299,11298,31,278,1250
10299,11336,26,278,1285
10299,11618,4,278,1552
10299,11630,91,278,1564
10299,12173,31,278,2090
10299,12266,14,278,2177
10299,12523,115,278,2423
10299,12892,83,278,2765
10299,13487,86,278,3347
10299,13873,36,278,3718
10299,13930,93,278,3770
10299,13970,57,278,3809
10299,14057,120,278,3892
10299,14107,22,278,3941
10299,14709,62,278,4489
10299,14747,796,278,4525
10299,14771,33,278,4549
10299,14869,9,278,4646
10333,11433,31,310,1375
10333,14150,22,310,3982
10372,11292,231,348,1245
10372,11298,31,348,1250
10372,12266,16,348,2177
10372,12892,79,348,2765
10372,13930,62,348,3770
10372,14771,31,348,4549
10372,14869,31,348,4646
10397,10135,77,373,119
10397,10140,93,373,124
10397,10146,40,373,130
10397,10158,31,373,142
10397,10185,12,373,168
10397,10208,176,373,189
10397,10257,89,373,237
10397,10299,31,373,278
10397,10408,58,373,384
10397,10423,332,373,399
10397,10431,196,373,406
10397,10434,31,373,409
10397,10529,201,373,503
10397,10599,307,373,572
10397,10685,82,373,657
10397,10693,297,373,665
10397,10721,608,373,693
10397,10731,73,373,703
10397,10781,233,373,753
10397,10785,45,373,757
10397,10792,148,373,764
10397,10821,575,373,792
10397,10849,10,373,819
10397,10868,232,373,836
10397,10874,104,373,842
10397,10980,165,373,945
10397,10990,53,373,954
10397,10994,322,373,958
10397,11003,77,373,967
10397,11042,335,373,1004
10397,11057,475,373,1019
10397,11066,341,373,1028
10397,11109,31,373,1071
10397,11146,45,373,1107
10397,11150,96,373,1111
10397,11193,248,373,1153
10397,11252,147,373,1207
10397,11259,298,373,1214
10397,11267,117,373,1222
10397,11278,465,373,1231
10397,11292,511,373,1245
10397,11298,585,373,1250
10397,11308,120,373,1258
10397,11423,87,373,1366
10397,11433,496,373,1375
10397,11481,185,373,1421
10397,11540,82,373,1477
10397,11612,44,373,1546
10397,11617,50,373,1551
10397,11618,548,373,1552
10397,11624,125,373,1558
10397,11641,115,373,1575
10397,11648,3,373,1582
10397,11697,714,373,1630
10397,11721,88,373,1654
10397,11775,26,373,1702
10397,11778,60,373,1705
10397,11823,120,373,1747
10397,11953,109,373,1876
10397,11973,119,373,1896
10397,11977,48,373,1900
10397,11982,48,373,1905
10397,11986,150,373,1909
10397,11995,235,373,1918
10397,11996,317,373,1919
10397,12007,89,373,1929
10397,12173,31,373,2090
10397,12191,366,373,2106
10397,12197,190,373,2112
10397,12217,222,373,2130
10397,12264,288,373,2175
10397,12266,286,373,2177
10397,12278,90,373,2189
10397,12323,60,373,2232
10397,12339,360,373,2248
10397,12441,13,373,2346
10397,12448,217,373,2353
10397,12451,483,373,2356
10397,12478,216,373,2381
10397,12889,406,373,2762
10397,12892,586,373,2765
10397,12945,180,373,2817
10397,12951,103,373,2822
10397,12953,715,373,2824
10397,12992,193,373,2863
10397,13029,22,373,2898
10397,13198,348,373,3064
10397,13204,755,373,3070
10397,13230,89,373,3096
10397,13232,413,373,3098
10397,13244,299,373,3110
10397,13277,70,373,3143
10397,13296,31,373,3161
10397,13303,474,373,3167
10397,13342,307,373,3206
10397,13360,134,373,3223
10397,13367,85,373,3230
10397,13377,67,373,3240
10397,13422,165,373,3284
10397,13485,107,373,3345
10397,13486,3,373,3346
10397,13487,425,373,3347
10397,13495,468,373,3354
10397,13577,124,373,3432
10397,13795,63,373,3643
10397,13796,49,373,3644
10397,13851,176,373,3696
10397,13871,146,373,3716
10397,13930,621,373,3770
10397,13931,266,373,3771
10397,14027,377,373,3864
10397,14057,169,373,3892
10397,14098,92,373,3932
10397,14100,580,373,3934
10397,14107,302,373,3941
10397,14108,27,373,3942
10397,14122,310,373,3956
10397,14193,227,373,4025
10397,14307,92,373,4138
10397,14321,93,373,4152
10397,14457,3,373,4242
10397,14492,440,373,4276
10397,14524,344,373,4307
10397,14574,92,373,4357
10397,14576,92,373,4359
10397,14633,58,373,4415
10397,14635,315,373,4417
10397,14679,228,373,4459
10397,14683,305,373,4463
10397,14685,319,373,4465
10397,14696,120,373,4476
10397,14730,238,373,4509
10397,14747,339,373,4525
10397,14771,311,373,4549
10397,14783,119,373,4561
10397,14814,108,373,4591
10397,14831,81,373,4608
10397,14843,125,373,4620
10397,14869,272,373,4646
10397,14893,82,373,4670
10397,14908,92,373,4685
10397,14986,179,373,4760
10397,15016,364,373,4790
10397,15024,60,373,4798
10397,15027,6,373,4800
10397,15096,92,373,4867
10397,15249,188,373,5016
10397,15304,635,373,5069
10397,15323,147,373,5087
10397,15356,31,373,5118
10397,15370,140,373,5131
10397,15376,58,373,5137
10397,15380,4,373,5141
10397,15412,156,373,5171
10397,15607,72,373,5359
10397,15624,196,373,5375
10397,15919,137,373,5630
10408,10397,48,384,373
10408,11433,90,384,1375
10408,13487,103,384,3347
10408,13930,87,384,3770
10423,10140,4,399,124
10423,10397,332,399,373
10423,10693,60,399,665
10423,10721,62,399,693
10423,10821,62,399,792
10423,11057,121,399,1019
10423,11259,298,399,1214
10423,11278,31,399,1231
10423,11292,269,399,1245
10423,11298,338,399,1250
10423,11433,85,399,1375
10423,11481,2,399,1421
10423,11540,83,399,1477
10423,11618,143,399,1552
10423,11697,93,399,1630
10423,12191,159,399,2106
10423,12206,31,399,2120
10423,12264,46,399,2175
10423,12266,186,399,2177
10423,12478,177,399,2381
10423,12889,124,399,2762
10423,12892,300,399,2765
10423,12896,31,399,2769
10423,12954,62,399,2825
10423,13198,31,399,3064
10423,13204,89,399,3070
10423,13232,89,399,3098
10423,13487,81,399,3347
10423,13495,58,399,3354
10423,13796,31,399,3644
10423,13930,252,399,3770
10423,14057,43,399,3892
10423,14100,79,399,3934
10423,14107,194,399,3941
10423,14193,2,399,4025
10423,14492,13,399,4276
10423,14679,77,399,4459
10423,14747,123,399,4525
10423,14771,213,399,4549
10423,14831,62,399,4608
10423,14869,58,399,4646
10423,15016,56,399,4790
10423,15304,32,399,5069
10431,10397,196,406,373
10431,11618,31,406,1552
10431,12953,3,406,2824
10431,13930,124,406,3770
10434,10397,31,409,373
10434,11433,76,409,1375
10434,11618,2,409,1552
10434,13930,60,409,3770
10469,11433,76,444,1375
10469,13487,6,444,3347
10469,13930,146,444,3770
10529,10397,201,503,373
10529,10821,217,503,792
10529,11042,5,503,1004
10529,11057,170,503,1019
10529,11278,62,503,1231
10529,11292,77,503,1245
10529,11298,61,503,1250
10529,11433,126,503,1375
10529,11618,42,503,1552
10529,11697,124,503,1630
10529,12264,17,503,2175
10529,12889,31,503,2762
10529,12892,29,503,2765
10529,13204,184,503,3070
10529,13232,93,503,3098
10529,13303,32,503,3167
10529,13487,105,503,3347
10529,13577,31,503,3432
10529,13930,154,503,3770
10529,14027,31,503,3864
10529,14100,31,503,3934
10529,14492,21,503,4276
10529,14771,31,503,4549
10529,14843,60,503,4620
10529,15304,76,503,5069
10551,10299,85,524,278
10561,11292,58,534,1245
10561,14107,90,534,3941
10561,14771,62,534,4549
10577,11433,89,550,1375
10581,11618,62,554,1552
10581,12478,22,554,2381
10581,13930,62,554,3770
10590,14107,31,563,3941
10599,10397,307,572,373
10599,10821,31,572,792
10599,11259,58,572,1214
10599,11292,32,572,1245
10599,11298,27,572,1250
10599,12191,58,572,2106
10599,12266,146,572,2177
10599,12889,31,572,2762
10599,12953,41,572,2824
10599,13204,60,572,3070
10599,13232,60,572,3098
10599,13930,126,572,3770
10599,15304,58,572,5069
10620,11292,124,593,1245
10620,13487,86,593,3347
10620,13930,15,593,3770
10620,14869,118,593,4646
10627,11292,91,600,1245
10627,12889,9,600,2762
10627,13487,127,600,3347
10627,13930,31,600,3770
10631,13487,62,604,3347
10685,10397,82,657,373
10685,13487,30,657,3347
10685,13930,89,657,3770
10693,10397,297,665,373
10693,10423,60,665,399
10693,10721,151,665,693
10693,10821,176,665,792
10693,10994,35,665,958
10693,11042,89,665,1004
10693,11057,161,665,1019
10693,11066,60,665,1028
10693,11193,27,665,1153
10693,11259,120,665,1214
10693,11278,93,665,1231
10693,11292,240,665,1245
10693,11298,242,665,1250
10693,11433,224,665,1375
10693,11481,62,665,1421
10693,11618,79,665,1552
10693,11697,126,665,1630
10693,12191,120,665,2106
10693,12266,133,665,2177
10693,12451,87,665,2356
10693,12889,118,665,2762
10693,12892,207,665,2765
10693,12953,118,665,2824
10693,13198,118,665,3064
10693,13204,135,665,3070
10693,13232,209,665,3098
10693,13303,9,665,3167
10693,13487,147,665,3347
10693,13495,91,665,3354
10693,13796,31,665,3644
10693,13930,259,665,3770
10693,14100,76,665,3934
10693,14107,89,665,3941
10693,14122,31,665,3956
10693,14193,62,665,4025
10693,14492,142,665,4276
10693,14679,43,665,4459
10693,14683,72,665,4463
10693,14747,91,665,4525
10693,14771,48,665,4549
10693,14869,31,665,4646
10693,15016,83,665,4790
10693,15304,120,665,5069
10713,11292,190,685,1245
10713,11298,31,685,1250
10713,11884,54,685,1808
10713,12889,62,685,2762
10713,12892,62,685,2765
10713,13232,33,685,3098
10713,13487,89,685,3347
10713,13796,61,685,3644
10713,13930,93,685,3770
10713,14057,57,685,3892
10713,14107,93,685,3941
10713,14679,62,685,4459
10713,14747,217,685,4525
10713,14771,124,685,4549
10713,14831,4,685,4608
10713,14869,173,685,4646
10713,14893,31,685,4670
10721,10154,48,693,138
10721,10158,31,693,142
10721,10397,608,693,373
10721,10423,62,693,399
10721,10693,151,693,665
10721,10792,147,693,764
10721,10821,528,693,792
10721,10994,62,693,958
10721,11042,208,693,1004
10721,11057,333,693,1019
10721,11066,58,693,1028
10721,11193,51,693,1153
10721,11259,31,693,1214
10721,11278,762,693,1231
10721,11292,277,693,1245
10721,11298,318,693,1250
10721,11433,348,693,1375
10721,11618,429,693,1552
10721,11697,232,693,1630
10721,12191,76,693,2106
10721,12264,213,693,2175
10721,12266,147,693,2177
10721,12339,56,693,2248
10721,12451,62,693,2356
10721,12478,362,693,2381
10721,12889,120,693,2762
10721,12892,482,693,2765
10721,12953,489,693,2824
10721,12954,31,693,2825
10721,13198,60,693,3064
10721,13204,358,693,3070
10721,13232,169,693,3098
10721,13303,207,693,3167
10721,13342,58,693,3206
10721,13487,209,693,3347
10721,13495,31,693,3354
10721,13541,31,693,3397
10721,13577,31,693,3432
10721,13796,31,693,3644
10721,13930,704,693,3770
10721,14027,93,693,3864
10721,14057,90,693,3892
10721,14100,470,693,3934
10721,14107,152,693,3941
10721,14122,151,693,3956
10721,14492,155,693,4276
10721,14524,140,693,4307
10721,14635,70,693,4417
10721,14679,92,693,4459
10721,14685,31,693,4465
10721,14747,243,693,4525
10721,14771,509,693,4549
10721,14831,31,693,4608
10721,14843,97,693,4620
10721,14869,111,693,4646
10721,14893,19,693,4670
10721,15016,99,693,4790
10721,15024,8,693,4798
10721,15304,155,693,5069
