type,freq,complaint_type,BRONX,BROOKLYN,Flushing,Jamaica,NEW YORK,STATEN ISLAND,ASTORIA
HEAT/HOT WATER,241430,HEAT/HOT WATER,0.3300749699705919,0.29992130224081515,0.011353187259246987,0.013983349210951415,0.23006668599594085,0.009443731102182827,0.0
Street Condition,124347,Street Condition,0.09740484289930597,0.276854286794213,0.019180197350961423,0.018729844708758554,0.15368283915172862,0.13582153168150418,0.004334644181202603
Street Light Condition,98577,Street Light Condition,0.08038386236140276,0.19355427736693143,0.017894640737697434,0.02506669912859998,0.021292999381194395,0.06286456272761394,0.0
Blocked Driveway,95080,Blocked Driveway,0.16415649978965083,0.3612852334875894,0.0,0.0,0.02850231384097602,0.02841817416912074,0.035107278081615484
Illegal Parking,83961,Illegal Parking,0.10940793940043592,0.36320434487440595,0.0,0.0,0.15860935434308787,0.06952037255392385,0.017329474398828027
UNSANITARY CONDITION,81394,UNSANITARY CONDITION,0.2879819151288793,0.3522126938103546,0.00852642700936187,0.01901860087967172,0.1911688822271912,0.02322038479494803,0.0
PAINT/PLASTER,69929,PAINT/PLASTER,0.32043930272133164,0.34663730355074435,0.009838550529823107,0.014886527763874786,0.20562284602954425,0.014028514636273935,0.0
Water System,69209,Water System,0.15843315175771938,0.27807077114248147,0.0201418890606713,0.03223569188978312,0.18035226632374401,0.08933809186666473,0.0
PLUMBING,55445,PLUMBING,0.3053296059157724,0.3412210298494003,0.007701325638019659,0.021715213274416088,0.2079357922265308,0.02148074668590495,0.0
Noise,54165,Noise,0.053540108926428506,0.2651527739315056,0.014123511492661313,0.008584879534754916,0.4789624296132189,0.028283947198375334,0.0
Noise - Street/Sidewalk,48436,Noise - Street/Sidewalk,0.18001073581633495,0.26645470311338676,0.0,0.0,0.4289165083821951,0.01880832438681972,0.011128086547196301
Traffic Signal Condition,44229,Traffic Signal Condition,0.0392728752628366,0.2785276628456443,0.013995342422392547,0.02335571683736915,0.028284609645255376,0.03646928485835085,0.0
Noise - Commercial,42422,Noise - Commercial,0.0637169393239357,0.3131158361227665,0.0,0.0,0.4264296827118005,0.01798595068596483,0.04839470086275989
DOOR/WINDOW,39695,DOOR/WINDOW,0.3091069404207079,0.3583826678422975,0.007557626905151782,0.01735734979216526,0.19309736742662803,0.018969643531930973,0.0
WATER LEAK,36149,WATER LEAK,0.3026916373896927,0.37649727516667125,0.010705690337215414,0.01587872416940994,0.18965946499211597,0.01610003042961078,0.0
Dirty Conditions,35122,Dirty Conditions,0.14002619440806333,0.32819884972381985,0.02448607710267069,0.03282842662718524,0.15221228859404362,0.08194294174591424,0.0
Sewer,33628,Sewer,0.10271202569287499,0.27494944688949685,0.021291780658974663,0.06803853931247769,0.10235518020697038,0.11160342571666468,0.0
Sanitation Condition,31260,Sanitation Condition,0.11305182341650671,0.36481126039667305,0.024504158669225846,0.041714651311580295,0.10569417786308381,0.08854766474728087,0.0
ELECTRIC,30248,ELECTRIC,0.28434937847130387,0.3720245966675483,0.007107907960856916,0.023075905845014545,0.1676474477651415,0.021720444326897646,0.0
Rodent,28454,Rodent,0.23110986153089197,0.3187601040275532,0.0059042665354607435,0.01947002178955507,0.23901736135516974,0.0475152878329936,0.0018626555141632109
FLOORING/STAIRS,27007,FLOORING/STAIRS,0.30040359906690856,0.3560928648128263,0.006035472284963157,0.01614396267634317,0.22023919724515867,0.020031843596104715,0.0
General Construction/Plumbing,26861,General Construction/Plumbing,0.09314619708871598,0.3525557499720785,0.020959755779755035,0.02378913666654257,0.261047615502029,0.05029596813223633,0.0
Building/Use,25807,Building/Use,0.11725500833107297,0.2938350060061224,0.04301158600379742,0.05018018367109699,0.07083349478823575,0.05947998605029643,0.0
Broken Muni Meter,25428,Broken Muni Meter,0.09996853861884537,0.20493157149598867,0.0,0.0,0.4320040899795501,0.010303602328142205,0.032837816580147866
